BOTTLE,20180419CCHSIOCBG
# Merged parameters: TRITUM, TRITER, TRITUM_FLAG_W
# Merged parameters: CTDPRS, CTDTMP, CTDSAL, CTDSAL_FLAG_W, SALNTY, SALNTY_FLAG_W, CTDOXY
# 20170811CCHSIOCBG
# Merged parameters: ALKALI, ALKALI_FLAG_W, PH_TOT_FLAG_W, PH_TMP, DOC, DOC_FLAG_W, TDN, TDN_FLAG_W
# Merged parameters: CFC-11, CFC-11_FLAG_W, CFC-12, CFC-12_FLAG_W, SF6, SF6_FLAG_W
# 20160217PRINUNIVRMK
# file processed by CCHDO on 2016-02-20
# 2/15/16 Initialized README file  
# Data source: CCHDO 
# SHIP: R/V Ron BrownCruise:  
# Region: NE Pacific, Leg 1 of P16N (A.K.A. P16C) 
# EXPOCODE: 33RO20150410 
# DATES: 20150410 - 20150513 
# Chief Scientist: Jessica Cross, Samantha Siedlecki 
# 112 stations with 24 place Rosette 
# Hydro: Who - G.Johnson, M.Baringer; Status - final 
#       Notes:   
# Nutrients: Who - C.Mordy; Status - final 
#       Notes: Final data from E.Wisgarver via CCHDO Jan 7, 2016 
# O2: Who - C. Langdon; Status - final 
#       Notes: final data from Langdon via CCHDO Feb 2, 2016 
# TCO2: Who - S.Alin, R. Wanninkhof; Status - final 
#       Notes: data from D.Greely via CDIAC 11/20/15 
# TA: Who - A.Dickson; Status - final 
#       Notes: Data rcd 8/30/16 
# PH: Who - A.Dickson; Status - final 
#       Notes: Data rcd 8/30/16 
# CFC: Who - J.Bullister; Status -final 
#       Notes: added 3/11/16 
# C14: Who - R.Key,A.McNichol; Status - being analyzed 
#       Notes:  
# H3/He3: Who - W. Jenkins; Status - final
#       Notes:  added 2018-04-19
# DOC/TDN: Who - C.Carlson; Status -final 
#       Notes: Data rcd from Carlson via NCEI 6/6/17 
# Organics: Who - N.Nelson; Status -being analyzed 
#       Notes:  
# These data should be cited as: 
# DOI: 10.7942/C2WC7C 
# References that have used data from this cruise:
#
# Principal Programs of P16N Leg 1
# 
# Chief Scientist               Jessica Cross             PMEL          jessica.cross@noaa.gov                 
# Co-Chief Scientist            Samantha Siedlecki        JISAO         siedlesa@uw.edu     
# 
# Analysis                            Institution   Principal Investigator   email                      
# ----------------------               -----------   -----------------        -------------------------
# 
# CTDO                                NOAA/PMEL     Gregory Johnson          Gregory.C.Johnson@noaa.gov 
#                                     NOAA/AOML     Molly Baringer           Molly.Baringer@noaa.gov    
# Fluorometer / C-OPS                 UCSB/ERI      Norm Nelson              norm@eri.ucsb.edu          
# Transmissometer                     TAMU          Wilford Gardner          wgardner@ocean.tamu.edu    
# Underwater Vision Profiler (UVP)    UAF           Andrew McDonnell         amcdonnell@alaska.edu      
# Lowered ADCP                        LDEO          Andreas Thurnherr        ant@ldeo.columbia.edu      
# Chipods                             OSU           Jonathan Nash            nash@coas.oregonstate.edu  
# Data Management                     SIO/ODF       James Swift              jswift@ucsd.edu            
#                                     SIO/ODF       Susan Becker             sbecker@ucsd.edu           
# Chlorofluorocarbons(CFCs)/SF6/N2O   NOAA/PMEL     John Bullister           John.L.Bullister@noaa.gov  
# 3He / Neon / Tritium                WHOI          William Jenkins          wjenkins@whoi.edu          
# Dissolved O2                        RSMAS         Chris Langdon            clangdon@rsmas.miami.edu   
#                                     NOAA/AOML     Molly Baringer           Molly.Baringer@noaa.gov    
# Total CO2 (DIC) / UW pCO2           NOAA/PMEL     Simone Alin              Simone.R.Alin@noaa.gov     
#                                     NOAA/AOML     Rik Wanninkhof           Rik.Wanninkhof@noaa.gov    
# Total Alkalinity/pH                 SIO/MPL       Andrew Dickson           adickson@ucsd.edu          
# 13C /14C-DIC                        PU            Robert Key               key@princeton.edu          
#                                     WHOI          Ann McNichol             amcnichol@whoi.edu         
# DOC / TDN                           UCSB/MSI      Craig Carlson            carlson@lifesci.ucsb.edu   
# DO14C / Black Carbon                UCI/ESS       Ellen Druffel            edruffel@uci.edu           
# CDOM / POC / Chlorophyll a          UCSB/ERI      Norm Nelson              norm@eri.ucsb.edu          
# UW HPLC Pigments / AP                   "              "                           "        
# Nutrients                           NOAA/PMEL     Calvin Mordy             Calvin.W.Mordy@noaa.gov    
# Salinity                            NOAA/AOML     Molly Baringer           Molly.Baringer@noaa.gov    
#                                     NOAA/PMEL     Gregory Johnson          Gregory.C.Johnson@noaa.gov 
# 137Cs /134Cs /90Sr /129I            WHOI          Ken Buesseler            kbuesseler@whoi.edu        
# ARGO Floats                         NOAA/PMEL     Gregory Johnson          Gregory.C.Johnson@noaa.gov 
# Shipboard ADCP                      UH            Eric Firing              efiring@hawaii.edu         
#                                     UH            Jules Hummon             hummon@hawaii.edu          
# 
#| Data Citation
#| 
#|  Following American Geophysical Union recommendations, the data should be
#|  cited as: "data provider(s), cruise name or cruise ID, data file name(s),
#|  CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
#|  file date." For further information, please contact one of the parties
#|  listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
#|  the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
#|  from their use.
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,N2O,N2O_FLAG_W,SBE35,SBE35_FLAG_W,SALTREF,SALTREF_FLAG_W
33RO20150410,       P16N,       1,          1,         12,         12,2,20150411,       0550,   -16.5011,  -150.0006,       4283,   749.7,   5.5006,  34.4639,2,  34.4651,2,    136.6,2,   138.1,2,   44.20,2,   33.60,2,    0.00,2,    1.89,4,   0.247,3,   0.146,2,   0.199,3,  2233.6,3,  2311.4,2,   7.5601,2,    25.00,   0.009,2,   0.002,    41.4,2, -999.00,9,       2.84,2,   5.5029,2,    34.6276,2
33RO20150410,       P16N,       1,          1,         11,         11,2,20150411,       0550,   -16.5011,  -150.0006,       4283,   900.3,   4.5673,  34.4838,2,  34.4824,2,    141.6,2,   140.9,2,   59.00,2,   34.60,2,    0.01,2,    2.14,4,   0.192,3,   0.064,2,   0.092,3,  2245.6,2,  2325.9,2,   7.5594,6,    25.00,   0.009,2,   0.002,    43.6,2, -999.00,9,       2.55,2,   4.5706,2,    34.6450,2
33RO20150410,       P16N,       1,          1,         10,         10,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  1050.1,   3.8845,  34.5160,2,-999.0000,9,    137.7,2,   138.3,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,   0.025,3,   0.022,2,   0.041,3,  2262.4,2,  2342.0,2,   7.5522,2,    24.99,   0.001,2,   0.001,    41.4,2, -999.00,9,       2.50,2,   3.8829,2,     -999.0,9
33RO20150410,       P16N,       1,          1,          9,          9,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  1232.0,   3.3040,  34.5456,2,  34.5468,2,    140.7,2,   140.6,2,   86.50,2,   35.90,2,    0.01,2,    2.60,4,   0.016,3,   0.009,2,   0.087,3,  2273.1,2,  2355.7,2,   7.5531,2,    25.00,  -0.002,2,   0.002,    42.8,2, -999.00,9,       2.40,2,   3.3036,2,    34.7097,2
33RO20150410,       P16N,       1,          1,          8,          8,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  1500.5,   2.7630,  34.5794,2,  34.5812,2,    144.6,2,   145.7,2,   98.70,2,   35.70,2,    0.01,2,    2.78,4,   0.011,3,   0.006,2,   0.100,3,  2286.0,2,  2368.9,2,   7.5593,2,    25.00,   0.003,2,   0.001,    41.4,2, -999.00,9,       2.29,2,   2.7623,2,    34.7442,2
33RO20150410,       P16N,       1,          1,          7,          7,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  1867.3,   2.2923,  34.6196,2,  34.6219,2,    148.7,2,   146.0,2,  110.80,2,   35.60,2,    0.00,2,    2.96,4,   0.001,3,   0.004,2,   0.084,3,  2293.1,2,  2383.1,2,   7.5661,3,    25.00,   0.002,2,   0.001,    38.4,2, -999.00,9,       2.21,2,   2.2923,2,    34.7851,2
33RO20150410,       P16N,       1,          1,          6,          6,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  2267.8,   1.9794,  34.6492,2,  34.6507,2,    151.3,2,   151.4,2,  120.70,2,   35.50,2,    0.00,2,    3.10,4,   0.003,3,   0.001,2,   0.000,2,  2301.9,2,  2392.1,2,   7.5717,2,    25.01,-999.000,9,-999.000,    38.0,2, -999.00,9,       2.15,2,   1.9794,2,    34.8141,2
33RO20150410,       P16N,       1,          1,          5,          5,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  2667.2,   1.8154,  34.6661,2,  34.6663,2,    153.9,2,   153.4,2,  127.00,2,   35.50,2,    0.00,2,    3.18,4,   0.005,3,   0.000,2,   0.000,2,  2308.0,2,  2399.8,2,   7.5767,6,    25.01,-999.000,9,-999.000,    38.5,2, -999.00,9,       2.11,2,   1.8156,2,    34.8297,2
33RO20150410,       P16N,       1,          1,          4,          4,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  3067.9,   1.6645,  34.6763,2,  34.6759,2,    163.2,2,   163.1,2,  126.40,6,   34.90,6,    0.00,6,    3.13,4,   0.003,3,   0.000,2,   0.121,3,  2298.1,2,  2394.9,2,   7.5842,2,    24.99,-999.000,9,-999.000,    37.2,2, -999.00,9,       2.06,2,   1.6643,2,    34.8394,2
33RO20150410,       P16N,       1,          1,          3,          3,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  3470.2,   1.4898,  34.6887,2,  34.6884,2,    174.3,2,   174.0,2,  125.00,6,   34.10,6,    0.00,6,    3.08,4,   0.022,3,   0.002,2,   0.085,3,  2289.7,2,  2388.3,2,   7.5926,6,    25.00,-999.000,9,-999.000,    38.9,2, -999.00,9,       1.99,2,   1.4901,2,    34.8519,2
33RO20150410,       P16N,       1,          1,          2,          2,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  3868.4,   1.4671,  34.6925,2,  34.6890,2,    177.4,2,   177.6,2,  124.00,6,   33.90,6,    0.00,6,    3.08,4,  -0.002,3,   0.002,2,   0.046,3,  2286.4,2,  2386.7,6,   7.5958,2,    25.00,-999.000,9,-999.000,    40.8,2, -999.00,9,       1.96,2,   1.4671,2,    34.8525,3
33RO20150410,       P16N,       1,          1,          1,          1,2,20150411,       0550,   -16.5011,  -150.0006,       4283,  4272.4,   1.4433,  34.6959,2,  34.6956,2,    181.4,2,   182.4,2,  124.30,2,   33.50,2,    0.01,2,    3.06,4,  -0.004,3,  -0.001,6,   0.000,6,  2283.7,6,  2388.0,2,   7.5993,6,    25.01,-999.000,9,-999.000,    41.6,2, -999.00,9,       1.95,2,   1.4438,2,    34.8592,6
33RO20150410,       P16N,       2,          1,         24,         24,2,20150411,       1239,   -15.9986,  -149.9996,       4333,     2.5,  29.1043,  35.8353,2,  35.8324,2,    192.7,2,   193.2,2,    1.20,2,    0.00,2,    0.00,2,    0.13,4,   1.324,3,   0.917,6,   1.235,6,  2001.5,2,  2357.6,6,   8.1181,2,    25.01,-999.000,9,-999.000,  -999.0,9, -999.00,9,       0.57,2,  29.1055,2,    36.0014,2
33RO20150410,       P16N,       2,          1,         23,         23,2,20150411,       1239,   -15.9986,  -149.9996,       4333,    25.1,  29.0955,  35.8323,2,  35.8314,2,    193.4,2,   193.6,2,    0.80,2,    0.00,2,    0.00,2,    0.12,4,-999.000,9,-999.000,9,-999.000,9,  2002.6,2,  2358.3,2,   8.1184,2,    25.00,-999.000,9,-999.000,  -999.0,9, -999.00,9,     -999.0,9,  29.0944,2,    36.0004,2
33RO20150410,       P16N,       2,          1,         22,         22,2,20150411,       1239,   -15.9986,  -149.9996,       4333,    50.6,  28.6431,  35.9456,2,  36.0006,2,    199.3,2,   200.0,2,    0.70,2,    0.00,2,    0.00,2,    0.17,4,   1.387,3,   0.959,2,   1.281,2,  2014.0,3,  2368.5,2,   8.1110,6,    25.01,-999.000,9,-999.000,  -999.0,9, -999.00,9,       0.60,2,  28.6392,2,    36.1703,2
33RO20150410,       P16N,       2,          1,         21,         21,2,20150411,       1239,   -15.9986,  -149.9996,       4333,    75.6,  26.5136,  36.2647,2,  36.2633,2,    195.4,2,   195.5,2,    1.00,2,    0.00,2,    0.01,2,    0.16,4,-999.000,9,-999.000,9,-999.000,9,  2049.9,3,  2387.1,2,   8.0786,6,    25.00,-999.000,9,-999.000,  -999.0,9, -999.00,9,     -999.0,9,  26.5539,3,    36.4343,2
33RO20150410,       P16N,       2,          1,         20,         20,2,20150411,       1239,   -15.9986,  -149.9996,       4333,   100.2,  25.2258,  36.2649,2,  36.2629,2,    184.4,2,   185.1,2,    0.70,2,    0.40,2,    0.33,2,    0.21,4,   1.571,3,   1.072,2,   1.310,2,  2086.4,3,  2387.1,2,   8.0464,6,    25.00,-999.000,9,-999.000,  -999.0,9, -999.00,9,       0.66,2,  25.2269,2,    36.4339,2
33RO20150410,       P16N,       2,          1,         19,         19,2,20150411,       1239,   -15.9986,  -149.9996,       4333,   126.1,  24.1184,  36.2329,2,  36.2370,2,    174.9,2,   174.6,2,    0.80,2,    2.00,2,    0.32,2,    0.27,4,-999.000,9,-999.000,9,-999.000,9,  2086.3,3,  2382.7,2,   8.0164,2,    25.00,-999.000,9,-999.000,  -999.0,9, -999.00,9,     -999.0,9,  24.1323,3,    36.4078,6
33RO20150410,       P16N,       2,          1,         18,         18,4,20150411,       1239,   -15.9986,  -149.9996,       4333,   174.6,  22.2352,  36.0766,2,  35.0977,4,    170.9,2,   146.8,4,   46.40,4,   19.90,4,    0.01,4,    1.50,4,   1.140,3,   0.714,4,   0.578,4,  2188.9,4,  2344.6,4,   7.7403,4,    25.00,-999.000,9,-999.000,  -999.0,9, -999.00,9,       1.93,4,  22.2302,2,    35.2632,4
33RO20150410,       P16N,       2,          1,         17,         17,2,20150411,       1239,   -15.9986,  -149.9996,       4333,   250.6,  18.8840,  35.5911,2,  35.5892,2,    170.2,2,   170.0,2,    1.70,2,    6.10,2,    0.01,2,    0.36,4,   2.070,3,   1.339,2,   1.227,2,  2112.2,2,  2341.4,2,   7.9015,2,    25.00,-999.000,9,-999.000,  -999.0,9, -999.00,9,       1.06,2,  18.8522,3,    35.7570,2
33RO20150410,       P16N,       2,          1,         16,         16,3,20150411,       1239,   -15.9986,  -149.9996,       4333,   324.6,  15.2956,  35.0797,2,  35.0793,2,    154.0,2,   154.4,2,    4.10,2,   11.60,2,    0.01,2,    0.62,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9, -999.00,9,     -999.0,9,  15.2649,3,    35.2447,6
33RO20150410,       P16N,       2,          1,         15,         15,2,20150411,       1239,   -15.9986,  -149.9996,       4333,   400.4,  11.0817,  34.6481,2,  34.6519,2,    123.5,2,   122.2,2,   11.90,2,   21.60,2,    0.01,2,    1.07,4,-999.000,9,-999.000,9,-999.000,9,  2180.8,2,  2290.1,2,   7.6399,2,    25.01,-999.000,9,-999.000,  -999.0,9, -999.00,9,     -999.0,9,  11.0857,2,    34.8153,2
