BOTTLE,20170412CCHSIORJL
# Merged parameters: CH3Cl, CH3Cl_FLAG, CH3Br, CH3Br_FLAG, CH3I, CH3I_FLAG
# Merged parameters from A16S_MeX_HY1.csv (Submitted by Shari Yvon Lewis on 20080714)
# Merged parameters: HELIUM, HELIUM_FLAG_W, DELHE3, DELHE3_FLAG_W, NEON, NEON_FLAG_W, NEONER, HELIER, DELHER
# Merged parameters from LDEO_NGL_CliVarHeNe4CCHDO_A16S.xlsx (Submitted by R.Newton on 20150411)
# Merged parameters: TRITUM, TRITUM_FLAG_W, TRITER
# Merged parameters from LDEO_NGL_CliVarTritium4CCHDO_A16S.xlsx (Submitted by R.Newton on 20150413)
# Change CH3Cl to CH3L
# 20110831CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2011-08-31
#original HYD file: /data/co2clivar/atlantic/a16/a16s_2005a/original/2011.08.25_carbon_cberys/original_hy1.csv  2011-08-31
#BOTTLE,20100913CCHDOSIOCBG
#code:copy_exchange_bot.rb (J. Fields)
#citations added by A. Barna
#BOTTLE,20091030CCHDOSIOJCF
# code : Justin Fields merge_exchange.rb
#| PARAMETER/PROGRAM    Institution     Principal Investigator
#| ------------------------------------------------------------------
#| CTD                  PMEL/AOML       Greg Johnson/Molly Baringer
#| Salinity             PMEL            Greg Johnson
#| CFCs                 UW/PMEL         Mark Warner/John Bullister
#| HCFCs                TAMU            Shari Yvon-Lewis
#| DIC                  AOML/PMEL       Rik Wanninkhof/Dick Feely
#| Discrete pCO2        AOML            Rik Wanninkhof
#| Dissolved O2         RSMAS-U. Miami  Chris Langdon
#| Nutrients            UW/AOML         Calvin Mordy/Jia-Zhong Zhang
#| Helium/Tritium       LDEO            Peter Schlosser
#| CO2-Alkalinity       RSMAS-U. Miami  Frank Millero
#| CO2-pH               RSMAS-U. Miami  Frank Millero
#| DOC                  RSMAS-U. Miami  Dennis Hansell
#| CDOM                 UCSB            Norm Nelson/Craig Carlson
#| Underway pCO2        AOML            Rik Wanninkhof
#| 13C/14C              WHOI            Ann McNichol
#| ADCP/LADCP           U. Hawaii/LDEO  Eric Firing/Andreas Thurnherr
#| Aerosols             CWU             Anne Johansen
#| SAMI/CO2             U. Montana      Mike DeGrandpre
#| CO2 System Develop.  USF             Robert Byrne
#|
#| Following American Geophysical Union recommendations,
#| the data should be cited as: data provider(s), cruise name
#| or cruise ID, data file name(s) CLIVAR and Carbon Hydrographic
#| Data Office, La Jolla, CA USA," and data file date. For further
#| information", please contact one of the parties listed above or
#| cchdo@ucsd.edu. Users are also requested to acknowledge the
#| NSF/NOAA-funded U.S. Repeat Hydrography Program in publications
#| resulting from their use.
#
 33RO200501,       A16S,       1,          1,         17,         17,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1198.0,   0.2131,  34.6771,2,  34.6768,2,    214.6,2,  -999.0,9,  120.28,2,   32.51,2,    0.00,2,    2.39,4,-999.000,9,-999.000,9,-999.000,9,  2265.1,2,  -999.0,9,  1120.9,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9, 1198.00,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.1560,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         14,         14,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1497.8,   0.1031,  34.6734,2,  34.6755,2,    218.9,2,  -999.0,9,  121.80,2,   32.56,2,    0.00,2,    2.40,4,-999.000,9,-999.000,9,-999.000,9,  2261.9,2,  -999.0,9,  1110.1,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9, 1497.80,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.0291,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         13,         13,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1498.2,   0.1031,  34.6734,2,-999.0000,9,    218.9,2,   219.8,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,   0.521,2,   0.263,2,   0.007,2,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,   0.116,2,    0.01,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,   0.668,3, -999.00,9, 1498.20,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.0291,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         15,         15,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1498.2,   0.1030,  34.6734,2,-999.0000,9,    219.0,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2352.2,2,  -999.0,9,   20.00,   7.5949,6,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    0.58,2,  -156.4,2,     3.5,-999.000,9,-999.000,-999.000,9,   38.91,2, 1498.20,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.0290,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         11,         11,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1798.8,   0.0120,  34.6700,2,  34.6693,2,    223.1,2,  -999.0,9,  122.00,2,   32.49,2,    0.00,2,    2.43,4,-999.000,9,-999.000,9,-999.000,9,  2260.5,2,  -999.0,9,  1111.6,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9, 1798.80,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.0802,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         10,         10,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1798.9,   0.0119,  34.6699,2,-999.0000,9,    223.1,2,   222.6,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,   0.615,2,   0.284,2,   0.005,2,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,   0.634,3, -999.00,9, 1798.90,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.0802,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,         12,         12,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  1799.0,   0.0119,  34.6700,2,  34.6684,2,    223.3,2,  -999.0,9,  122.80,2,   32.49,2,    0.00,2,    2.40,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2351.5,2,  -999.0,9,   20.00,   7.5977,6,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    0.65,2,  -153.0,2,     3.1,-999.000,9,-999.000,-999.000,9,   39.84,2, 1799.00,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.0802,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          7,          7,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2198.5,  -0.0608,  34.6667,2,-999.0000,9,    227.0,2,   226.6,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,   0.675,2,   0.327,2,   0.020,2,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,   0.746,3, -999.00,9, 2198.50,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.1796,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          9,          9,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2198.7,  -0.0606,  34.6667,2,  34.6658,2,    227.0,2,  -999.0,9,  122.73,2,   32.40,2,    0.00,2,    2.40,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2351.9,2,  -999.0,9,   20.00,   7.5959,6,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    0.64,2,  -154.5,2,     3.0,-999.000,9,-999.000,-999.000,9,   39.19,2, 2198.70,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.1794,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          8,          8,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2198.8,  -0.0607,  34.6667,2,  34.6656,2,    227.0,2,  -999.0,9,  122.13,2,   32.38,2,    0.00,2,    2.41,4,-999.000,9,-999.000,9,-999.000,9,  2259.2,2,  -999.0,9,  1106.0,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9, 2198.80,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.1796,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          5,          5,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2600.2,  -0.1046,  34.6642,2,-999.0000,9,    229.8,2,   229.3,2,  123.91,6,   32.34,6,    0.01,6,    2.37,4,   0.740,2,   0.366,2,   0.019,2,  2258.8,2,  -999.0,9,  1105.5,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,   0.780,3, -999.00,9, 2600.20,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.2529,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          4,          4,9,20050117,       1104,   -60.0157,   -30.8928,       2734,  2600.5,  -0.1047,  34.6641,2,-999.0000,9,    230.0,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9, 2600.50,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.2530,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          6,          6,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2600.8,  -0.1048,  34.6641,2,  34.6652,2,    230.0,2,  -999.0,9,  123.62,6,   32.34,6,    0.00,6,    2.41,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2351.4,2,  -999.0,9,   20.00,   7.5953,6,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    0.62,2,  -162.2,2,     3.6,-999.000,9,-999.000,-999.000,9,   38.93,2, 2600.80,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.2532,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          3,          3,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2950.1,  -0.1224,  34.6625,2,  34.6616,2,    232.1,2,  -999.0,9,  122.87,6,   32.27,6,    0.01,6,    2.40,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2352.2,2,  -999.0,9,   20.00,   7.5975,6,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    0.66,2,  -166.8,2,     3.4,-999.000,9,-999.000,-999.000,9,   38.94,2, 2950.10,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.2988,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          2,          2,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2950.2,  -0.1224,  34.6625,2,  34.6630,2,    232.1,2,  -999.0,9,  123.01,6,   32.28,6,    0.01,6,    2.40,4,-999.000,9,-999.000,9,-999.000,9,  2256.9,6,  -999.0,9,  1098.0,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9, 2950.20,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.2987,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          1,          1,          1,2,20050117,       1104,   -60.0157,   -30.8928,       2734,  2950.2,  -0.1222,  34.6623,2,-999.0000,9,    232.0,2,   232.1,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,   0.840,6,   0.419,6,   0.026,6,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,   1.869,2,  -2.030,4,   -9.00,9,  -999.0,9,    -9.0,   7.741,4,   0.010,   0.868,6, -999.00,9, 2950.20,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -0.2985,      0.002,   0.220,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          2,         22,         22,2,20050117,       1347,   -60.0137,   -30.8955,       2746,     0.4,   0.0473,  32.9826,2,-999.0000,9,    361.0,2,   354.1,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,   6.367,2,   3.434,2,   0.600,2,  -999.0,9,  -999.0,9,  -999.0,9,   20.00,-999.0000,9,    25.00,   0.280,2,    0.02,   1.963,2,  -1.750,2,   -9.00,9,  -999.0,9,    -9.0,   8.929,3,   0.015,   6.851,4, -999.00,9,    0.40,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.0473,      0.002,   0.213,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          2,         24,         24,2,20050117,       1347,   -60.0137,   -30.8955,       2746,     0.5,   0.0547,  33.0139,2,  33.0186,2,    360.1,2,  -999.0,9,   70.71,2,   22.46,2,    0.19,2,    2.00,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2240.7,4,  -999.0,9,   20.00,   7.7427,2,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    1.49,2,  -118.9,2,     4.2,-999.000,9,-999.000,-999.000,9,   47.88,2,    0.50,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.0547,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          2,         23,         23,2,20050117,       1347,   -60.0137,   -30.8955,       2746,     0.5,   0.0481,  32.9747,2,-999.0000,9,    339.6,2,  -999.0,9,   70.79,2,   22.44,2,    0.19,2,    2.01,4,-999.000,9,-999.000,9,-999.000,9,  2105.1,6,  -999.0,9,   727.6,2,   20.00,-999.0000,9,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,   -9.00,9,  -999.0,9,    -9.0,-999.000,9,-999.000,-999.000,9, -999.00,9,    0.50,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,   0.0481,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
 33RO200501,       A16S,       1,          2,         21,         21,2,20050117,       1347,   -60.0137,   -30.8955,       2746,    48.8,  -1.4768,  34.0664,2,-999.0000,9,    327.1,2,  -999.0,9,   76.62,2,   27.52,2,    0.10,2,    2.29,4,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  2308.6,2,  -999.0,9,   20.00,   7.6736,2,    25.00,-999.000,9, -999.00,-999.000,9,-999.000,9,    1.03,2,  -135.5,2,     3.3,-999.000,9,-999.000,-999.000,9,   45.02,2,   48.80,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -1.4779,     -999.0,-999.000,     -999.0,     -999.0,     -999.0,     -999.0,-999.000,     -999.0
