BOTTLE,20210219CCHSIOCBG
#| *CFCs*, *SF6*            *U Miami*,       Rana Fine,         rfine@rsmas.miami.edu,    
#|                          *UT*             Dong-Ha Min        dongha@mail.utexas.edu    
#| -----------------------  ---------------  -----------------  --------------------------
#| *DOC*, *TDN*             *UCSB*           Craig Carlson      carlson@lifesci.ucsb.edu  
#| -----------------------  ---------------  -----------------  --------------------------
#| C13 & C14                *WHOI*,          Ann McNichol,      amcnichol@whoi.edu,       
#|                          *Princeton*      Robert Key         401 Sayre Hall
#|                                                              Princeton University
#|                                                              08544 Princeton , NJ
#| -----------------------  ---------------  -----------------  --------------------------
#| Transmissometry          *TAMU*           Wilf Gardner       wgardner@ocean.tamu.edu   
#| -----------------------  ---------------  -----------------  --------------------------
#| Fluorescence and         *U Maine*        Emmanuel Boss      emmanuel.boss@maine.edu   
#| Backscatter (*SOCCOM*)                                                                 
#| -----------------------  ---------------  -----------------  --------------------------
#| Chipod                   *OSU*            Jonathan Nash      nash@coas.oregonstate.edu 
#| -----------------------  ---------------  -----------------  --------------------------
#| Nitrate δ15N and δ18O    *Princeton*       Daniel Sigman     sigman@princeton.edu      
#| -----------------------  ---------------  -----------------  --------------------------
#| DON and DOP              *FSU*            Angela Knapp       anknapp@fsu.edu           
#| -----------------------  ---------------  -----------------  --------------------------
#| Cell counts, *DOP*,      *U Miami*,       Kimberly           kpopendorf@rsmas.miami.edu  
#| *DIP*, *POP*, particu-   *RSMAS*          Popendorf                                               
#| late ATP, and                                                             
#| dissolved ATP
#| -----------------------  ---------------  -----------------  --------------------------
#| Optical profilers,       *NASA*           Antonio Mannino    antonio.mannino-1@nasa.gov  
#| profiling radiometer                                                              
#| and above water radio-                                                                
#| meter, *POC*, *CDOM*,                                                                   
#| *DOC*, *TDN*, FlowCAM,                                                                  
#| Oxygen primary produc-                                                                  
#| tivity, *HPLC* pigments                                                                        
#| -----------------------  ---------------  -----------------  --------------------------
#| Argo Floats              *UW*, *UCSD*,    Steve Riser,       riser@ocean.washington.edu,  
#|                          *SIO*            Dean Roemmich,     droemmich@ucsd.edu,   
#|                                           John Gilson        jegilson@gmail.com        
#| -----------------------  ---------------  -----------------  --------------------------
#| *SOCCOM* Floats          *UW*,            Steve Riser,       riser@ocean.washington.edu,  
#|                          *UCSD*, *SIO*    Lynne Talley       ltalley@ucsd.edu      
#| -----------------------  ---------------  -----------------  --------------------------
#| Surface Drifters         *NOAA*, *AOML*   Shaun Dolk         Shaun.dolk@noaa.gov       
#| -----------------------  ---------------  -----------------  --------------------------
#| Underway Bathymetry and  *ASC*            *ASC*              admin@nbp.usap.gov        
#| Meteorological Data                                                                    
#| -----------------------  ---------------  -----------------  --------------------------
#| 
#|PRELIMINARY STATEMENT
#| Some of the data in these files are preliminary, and are subject to final 
#| calibration and processing. Users should maintain caution in their 
#| interpretation and use. See header comments within the file for more information.
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC14,DELC14_FLAG_W,C14ERR,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TON,TON_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,CTDRINKO,CTDRINKO_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDBACKSCATTER,CTDBACKSCATTER_FLAG_W,D15N-TDN,D15N-TDN_FLAG_W,D18O-TDN,D18O-TDN_FLAG_W,DOP,DOP_FLAG_W,CELLCOUNT,CELLCOUNT_FLAG_W,TDP,TDP_FLAG_W,POP,POP_FLAG_W,DATP,DATP_FLAG_W,PATP,PATP_FLAG_W,HPLC,HPLC_FLAG_W,POC,POC_FLAG_W,AP,AP_FLAG_W,DOC_NASA,DOC_NASA_FLAG_W,REFTMP,REFTMP_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,/MILLE,,/MILLE,UMOL/KG,,UMOL/KG,,,,,,,,VOLTS,,VOLTS,,VOLTS,,VOLTS,,/MILLE,,/MILLE,,UMOL/KG,,/LITER,,UMOL/L,,UMOL/L,,PMOL/L,,PMOL/L,,,,MG/L,,/METERS,,UMOL/L,,ITS-90,
320620170820,        P06,     144,          2,          1,          1,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  5312.1,   1.2264,  34.7076,2,  34.7095,3, 201.4388,2, 202.1133,2,   120.5,2,   32.39,2,    0.00,2,    2.22,2,   0.068,2,   0.060,2,   0.0000,2,  2268.2,6,  2369.4,2,   7.6125,2,    25.00,  -999.0,9,  -999.0,    42.0,2, -999.00,9,     -999.0,1, 20170825,       45, -32.4993,-148.9691,        0.0,1,      0.061,1,      4.697,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2266,2
320620170820,        P06,     144,          2,          2,          2,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  5160.0,   1.2104,  34.7076,2,  34.7097,3, 201.4388,2, 201.5292,2,   120.3,2,   32.43,2,    0.00,2,    2.22,2,   0.056,2,   0.050,2,   0.0000,2,  2268.4,2,  2372.1,2,   7.6089,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,       52, -32.4991,-148.9691,        0.0,1,      0.061,1,      4.697,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2106,2
320620170820,        P06,     144,          2,          3,          3,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  4990.7,   1.1995,  34.7076,2,  34.7099,3, 200.5159,2, 201.0364,2,   120.2,2,   32.39,2,    0.00,2,    2.23,2,   0.056,2,   0.061,2,   0.0000,2,  2269.6,2,  2374.1,6,   7.6087,2,    25.00,  -999.0,9,  -999.0,    39.8,2, -999.00,9,     -999.0,1, 20170825,       58, -32.4992,-148.9691,        0.0,1,      0.060,1,      4.698,1,      0.122,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2000,2
320620170820,        P06,     144,          2,          4,          4,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  4579.0,   1.2209,  34.7064,2,  34.7083,3, 199.4463,3, 197.8024,2,   120.3,2,   32.57,2,    0.00,2,    2.24,2,   0.048,2,   0.062,2,   0.0000,2,  2271.6,2,  2374.2,2,   7.6074,2,    25.00,  -999.0,9,  -999.0,    42.6,2, -999.00,9,     -999.0,1, 20170825,      110, -32.4991,-148.9691,        0.0,1,      0.062,1,      4.699,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2258,2
320620170820,        P06,     144,          2,          5,          5,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  4270.1,   1.2796,  34.7045,2,  34.7074,3,  193.022,2, 193.6775,2,   120.4,2,   32.80,2,    0.00,2,    2.26,2,   0.047,2,   0.076,2,   0.0000,2,  2275.7,2,  -999.0,9,   7.6046,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      122, -32.4990,-148.9692,        0.0,1,      0.061,1,      4.700,1,      0.122,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.2891,2
320620170820,        P06,     144,          2,          6,          6,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  3965.2,   1.3583,  34.7007,2,  34.7022,3, 186.7697,2,  187.003,2,   121.7,2,   33.19,2,    0.00,2,    2.30,2,   0.049,2,   0.088,2,   0.0000,2,  2280.9,2,  2383.3,2,   7.6009,2,    25.00,  -999.0,9,  -999.0,    38.7,2, -999.00,9,     -999.0,1, 20170825,      131, -32.4991,-148.9691,        0.0,1,      0.061,1,      4.700,1,      0.124,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3616,2
320620170820,        P06,     144,          2,          7,          7,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  3655.5,   1.4643,  34.6959,2,  34.6979,2, 179.2503,2, 178.6235,2,   123.2,2,   33.72,2,    0.00,2,    2.34,2,   0.053,2,   0.098,2,   0.0000,2,  2288.2,2,  2385.7,2,   7.5952,2,    25.00,  -999.0,9,  -999.0,    38.4,2, -999.00,9,     -999.0,1, 20170825,      140, -32.4991,-148.9691,        0.0,1,      0.062,1,      4.700,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.4672,2
320620170820,        P06,     144,          2,          8,          8,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  3350.6,   1.5777,  34.6857,2,  34.6881,2, 169.9817,2, 170.2267,2,   126.2,2,   34.44,2,    0.00,2,    2.37,2,   0.043,2,   0.097,2,   0.0000,2,  2299.0,2,  2394.0,2,   7.5882,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      149, -32.4997,-148.9690,        0.0,1,      0.061,1,      4.701,1,      0.125,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.5653,2
320620170820,        P06,     144,          2,          9,          9,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  3042.8,   1.6970,  34.6743,2,  34.6769,2, 160.9608,3, 159.4207,2,   128.5,2,   35.19,2,    0.00,2,    2.43,2,   0.042,2,   0.091,2,   0.0000,2,  2308.2,2,  2401.6,2,   7.5799,2,    25.00,  -999.0,9,  -999.0,    36.5,2, -999.00,9,     -999.0,1, 20170825,      157, -32.4998,-148.9691,        0.0,1,      0.062,1,      4.701,1,      0.126,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.6881,2
320620170820,        P06,     144,          2,         10,         10,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  2787.4,   1.7758,  34.6678,2,  34.6690,2, 154.4529,3, 152.0823,2,   130.3,2,   35.69,2,    0.00,2,    2.48,2,   0.038,2,   0.081,2,   0.0000,2,  2315.2,3,  2404.6,2,   7.5725,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      204, -32.4995,-148.9692,        0.0,1,      0.061,1,      4.701,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7763,2
320620170820,        P06,     144,          2,         11,         11,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  2531.1,   1.8694,  34.6600,2,  34.6629,2, 149.3749,2, 149.8884,2,   127.2,2,   35.76,2,    0.00,2,    2.48,2,   0.039,2,   0.081,2,   0.0000,2,  2314.0,2,  2404.0,2,   7.5713,2,    25.00,  -999.0,9,  -999.0,    44.3,3, -999.00,9,     -999.0,1, 20170825,      210, -32.4996,-148.9692,        0.0,1,      0.061,1,      4.701,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8631,2
320620170820,        P06,     144,          2,         12,         12,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  2276.8,   1.9980,  34.6500,2,  34.6543,2,  150.719,2,  151.185,2,   121.0,2,   35.57,2,    0.00,2,    2.47,2,   0.048,2,   0.120,2,   0.0000,2,  2306.8,6,  2396.0,2,   7.5715,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      216, -32.4998,-148.9692,        0.0,1,      0.061,1,      4.701,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.9641,2
320620170820,        P06,     144,          2,         13,         13,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  2023.3,   2.1625,  34.6340,2,  34.6376,2, 150.7232,2, 151.0005,2,   113.6,2,   35.51,2,    0.00,2,    2.45,2,   0.038,2,   0.083,2,   0.0000,2,  2302.1,2,  2389.1,2,   7.5700,2,    25.00,  -999.0,9,  -999.0,    39.2,2, -999.00,9,     -999.0,1, 20170825,      222, -32.4997,-148.9693,        0.0,1,      0.061,1,      4.701,1,      0.129,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.1510,2
320620170820,        P06,     144,          2,         14,         14,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  1820.4,   2.3363,  34.6118,2,  34.6124,2, 153.7986,2, 154.5149,2,   102.0,2,   35.17,2,    0.00,2,    2.43,2,   0.042,2,   0.084,2,   0.0000,2,  2288.5,2,  2377.0,2,   7.5697,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      228, -32.4998,-148.9693,        0.0,1,      0.061,1,      4.701,1,      0.129,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.3475,2
320620170820,        P06,     144,          2,         15,         15,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  1616.1,   2.5835,  34.5645,2,  34.5645,2, 159.4178,2, 160.0953,2,    87.6,2,   34.90,2,    0.00,2,    2.39,2,   0.059,2,   0.082,2,   0.0000,2,  2271.6,2,  2359.6,2,   7.5679,2,    25.00,  -999.0,9,  -999.0,    37.5,2, -999.00,9,     -999.0,1, 20170825,      233, -32.4995,-148.9694,        0.0,1,      0.061,1,      4.702,1,      0.130,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.5949,2
320620170820,        P06,     144,          2,         16,         16,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  1412.7,   2.9816,  34.4781,2,  34.4883,2, 168.7353,2, 169.2916,2,    69.1,2,   34.45,2,    0.00,2,    2.37,2,   0.158,2,   0.144,2,   0.0000,2,  2251.2,2,  2336.6,2,   7.5697,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170825,      238, -32.4998,-148.9694,        0.0,1,      0.061,1,      4.701,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.9338,2
320620170820,        P06,     144,          2,         17,         17,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  1211.8,   3.6004,  34.3814,2,  34.3868,2, 184.6127,2, 184.5414,2,    48.2,2,   33.25,2,    0.00,2,    2.26,2,   0.586,2,   0.342,2,   0.0399,2,  2224.3,2,  2315.3,2,   7.5877,2,    25.00,  -999.0,9,  -999.0,    39.2,2, -999.00,9,     -999.0,1, 20170825,      243, -32.4998,-148.9694,        0.0,1,      0.060,1,      4.701,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.5644,2
320620170820,        P06,     144,          2,         18,         18,2,20170825,       0045,   -32.4997,  -148.9698,       5217,  1008.2,   4.6918,  34.3180,2,  34.3189,2, 204.1951,2, 205.3386,2,    27.9,2,   30.30,2,    0.00,2,    2.05,2,   1.409,2,   0.759,2,   0.2129,2,  2190.7,2,  2295.6,2,   7.6275,2,    25.00,  -999.0,9,  -999.0,    38.3,2, -999.00,9,     -999.0,1, 20170825,      249, -32.4999,-148.9694,        0.0,1,      0.060,1,      4.700,1,      0.130,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.6497,2
320620170820,        P06,     144,          2,         19,         19,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   906.4,   5.4507,  34.3041,2,  34.3064,2, 218.0952,2, 217.1628,2,    19.0,2,   28.04,2,    0.00,2,    1.90,2,   2.008,2,   1.056,2,   0.3739,2,  2174.5,2,  2287.6,2,   7.6557,2,    25.00,  -999.0,9,  -999.0,    38.7,2, -999.00,9,     -999.0,1, 20170825,      252, -32.4998,-148.9694,        0.0,1,      0.060,1,      4.700,1,      0.130,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.2870,2
320620170820,        P06,     144,          2,         20,         20,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   807.0,   6.0108,  34.3107,2,  34.3095,2, 231.8484,2, 230.8503,2,    12.4,2,   25.64,2,    0.00,2,    1.74,2,   2.686,2,   1.452,2,   0.5629,2,  2160.4,2,  2283.8,2,   7.6838,2,    25.00,  -999.0,9,  -999.0,    40.2,2, -999.00,9,     -999.0,1, 20170825,      255, -32.4996,-148.9694,        0.0,1,      0.058,1,      4.700,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.8959,2
320620170820,        P06,     144,          2,         21,         21,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   705.9,   6.4824,  34.3336,2,  34.3335,2, 240.6924,2, 239.4909,2,     8.7,2,   23.54,2,    0.00,2,    1.60,2,   3.266,2,   1.764,2,   0.7459,2,  2152.4,2,  2281.9,2,   7.7021,2,    25.00,  -999.0,9,  -999.0,    42.4,2, -999.00,9,     -999.0,1, 20170825,      258, -32.4998,-148.9694,        0.0,1,      0.059,1,      4.699,1,      0.133,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.4615,2
320620170820,        P06,     144,          2,         22,         22,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   605.6,   7.0073,  34.3718,2,  34.3601,2, 243.5206,2, 242.6505,2,     7.1,2,   22.30,2,    0.00,2,    1.52,2,   3.498,2,   1.960,2,   1.1189,2,  2146.7,2,  2280.5,2,   7.7096,6,    25.00,  -999.0,9,  -999.0,    44.1,2, -999.00,9,     -999.0,1, 20170825,      302, -32.4999,-148.9694,        0.0,1,      0.060,1,      4.698,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.8460,2
320620170820,        P06,     144,          2,         23,         23,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   504.4,   7.6023,  34.4212,2,  34.4082,2, 243.8655,2,  243.215,2,     5.3,2,   20.42,2,    0.00,2,    1.40,2,   3.561,6,   2.045,6,   1.1479,6,  2143.3,6,  2283.0,2,   7.7212,2,    25.00,  -999.0,9,  -999.0,    47.1,3, -999.00,9,     -999.0,1, 20170825,      306, -32.4996,-148.9695,        0.0,1,      0.058,1,      4.697,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     7.4439,2
320620170820,        P06,     144,          2,         24,         24,2,20170825,       0045,   -32.4997,  -148.9698,       5217,   402.4,   8.3064,  34.4738,2,  34.4777,2, 235.8651,2, 236.4693,2,     3.8,2,   18.01,2,    0.00,2,    1.24,2,   3.435,2,   2.010,2,   1.2479,2,  2140.0,2,  2285.7,2,   7.7337,2,    25.00,  -999.0,9,  -999.0,    44.0,3,   19.00,2,     -999.0,1, 20170825,      309, -32.4996,-148.9696,        0.0,1,      0.058,1,      4.696,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     8.3622,2
